unit,cycle,rul,health_score,health_grade,anomaly_label,op_setting_1,op_setting_2,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,sensor_2_norm,sensor_3_norm,sensor_4_norm,sensor_6_norm,sensor_7_norm,sensor_8_norm,sensor_9_norm,sensor_11_norm,sensor_12_norm,sensor_13_norm,sensor_14_norm,sensor_15_norm,sensor_17_norm,sensor_20_norm,sensor_21_norm,op_setting_1_norm,op_setting_2_norm
1,11,181,50.14,注意,0,0.0018,-0.0003,642.28,1581.75,1400.64,21.61,554.54,2388.05,9049.61,47.15,521.4,2388.01,8140.58,8.434,392,38.94,23.4787,0.322289,0.233486,0.310432,1.0,0.755233,0.227273,0.125101,0.178571,0.577825,0.191176,0.209722,0.419777,0.333333,0.620155,0.807097,0.603448,0.25
1,12,180,49.86,预警,0,0.0016,0.0002,642.06,1583.41,1400.15,21.61,554.52,2388.09,9049.37,47.18,521.8,2388.02,8134.25,8.3938,391,39.06,23.366,0.256024,0.269675,0.302161,1.0,0.752013,0.287879,0.124024,0.196429,0.663113,0.205882,0.177056,0.265102,0.25,0.713178,0.651477,0.591954,0.666667
1,13,179,49.58,预警,0,-0.0019,0.0004,643.07,1582.19,1400.83,21.61,553.44,2388.12,9046.82,47.38,521.85,2388.08,8128.1,8.4152,393,38.93,23.2757,0.560241,0.243078,0.313639,1.0,0.5781,0.333333,0.112582,0.315476,0.673774,0.294118,0.145319,0.347441,0.416667,0.612403,0.526788,0.390805,0.833333
1,14,178,49.31,预警,0,0.0009,-0.0,642.35,1592.95,1399.16,21.61,554.48,2388.09,9047.37,47.44,521.67,2388.0,8134.43,8.3964,393,39.18,23.3826,0.343373,0.477654,0.285449,1.0,0.745572,0.287879,0.11505,0.35119,0.635394,0.176471,0.177985,0.275106,0.416667,0.806202,0.674399,0.551724,0.5
1,15,177,49.03,预警,0,-0.0018,-0.0003,642.43,1583.82,1402.13,21.61,553.64,2388.11,9052.22,47.3,522.5,2388.08,8127.56,8.4199,391,38.99,23.35,0.36747,0.278613,0.335584,1.0,0.610306,0.318182,0.136812,0.267857,0.812367,0.294118,0.142533,0.365525,0.25,0.658915,0.629384,0.396552,0.25
1,16,176,48.75,预警,0,0.0006,0.0005,642.13,1587.98,1404.5,21.61,553.94,2388.05,9049.34,47.24,521.49,2388.07,8136.11,8.3936,392,38.97,23.455,0.277108,0.369305,0.375591,1.0,0.658615,0.227273,0.123889,0.232143,0.597015,0.279412,0.186655,0.264332,0.333333,0.643411,0.774372,0.534483,0.916667
1,17,175,48.48,预警,0,0.0002,0.0002,642.58,1584.96,1399.95,21.61,553.8,2388.06,9054.92,47.12,521.89,2388.04,8137.27,8.4542,392,38.81,23.3319,0.412651,0.303466,0.298785,1.0,0.636071,0.242424,0.148928,0.160714,0.682303,0.235294,0.192641,0.497499,0.333333,0.51938,0.604391,0.511494,0.666667
1,18,174,48.2,预警,0,-0.0031,-0.0001,642.62,1591.04,1396.12,21.61,554.2,2388.05,9049.55,47.21,521.76,2388.07,8132.73,8.4028,392,38.89,23.3987,0.424699,0.436015,0.234132,1.0,0.700483,0.227273,0.124832,0.214286,0.654584,0.279412,0.169213,0.299731,0.333333,0.581395,0.696631,0.321839,0.416667
1,19,173,47.92,预警,0,0.0032,-0.0003,641.79,1587.56,1400.35,21.61,554.18,2388.04,9053.99,47.4,521.89,2388.03,8129.13,8.4321,391,38.8,23.3464,0.174699,0.360148,0.305537,1.0,0.697262,0.212121,0.144755,0.327381,0.682303,0.220588,0.150635,0.412466,0.25,0.511628,0.624413,0.683908,0.25
1,20,172,47.65,预警,0,-0.0037,0.0001,643.04,1581.11,1405.23,21.61,554.81,2388.05,9045.9,47.22,522.07,2388.02,8129.71,8.421,392,39.03,23.422,0.551205,0.219533,0.387914,1.0,0.798712,0.227273,0.108454,0.220238,0.720682,0.205882,0.153628,0.369758,0.333333,0.689922,0.728804,0.287356,0.583333
1,21,171,47.37,预警,0,-0.0012,0.0001,642.37,1586.07,1398.13,21.61,554.08,2388.11,9048.15,47.15,522.42,2388.08,8134.02,8.4049,392,39.09,23.3101,0.349398,0.327665,0.268062,1.0,0.681159,0.318182,0.11855,0.178571,0.795309,0.294118,0.17587,0.307811,0.333333,0.736434,0.574289,0.431034,0.583333
1,22,170,47.09,预警,0,0.0002,0.0,642.77,1592.93,1400.57,21.61,553.63,2388.04,9061.21,47.24,522.0,2388.03,8130.41,8.4034,392,38.92,23.3792,0.46988,0.477218,0.309251,1.0,0.608696,0.212121,0.177152,0.232143,0.705757,0.220588,0.15724,0.302039,0.333333,0.604651,0.669705,0.511494,0.5
1,23,169,46.81,预警,0,0.0034,-0.0003,642.14,1588.19,1394.75,21.61,553.98,2388.05,9046.28,47.25,521.52,2388.05,8127.9,8.424,392,38.94,23.4562,0.28012,0.373883,0.211006,1.0,0.665056,0.227273,0.110159,0.238095,0.603412,0.25,0.144287,0.381301,0.333333,0.620155,0.776029,0.695402,0.25
1,24,168,46.54,预警,0,-0.001,0.0003,642.38,1590.83,1398.81,21.61,553.49,2388.12,9043.76,47.44,522.13,2388.03,8133.88,8.3891,392,39.0,23.3696,0.35241,0.431437,0.279541,1.0,0.586151,0.333333,0.098851,0.35119,0.733475,0.220588,0.175147,0.247018,0.333333,0.666667,0.656448,0.442529,0.75
1,25,167,46.26,预警,0,0.0023,-0.0004,642.77,1594.1,1399.39,21.61,554.0,2388.02,9054.16,47.36,522.56,2388.02,8136.61,8.3917,393,38.95,23.4288,0.46988,0.502725,0.289332,1.0,0.668277,0.181818,0.145517,0.303571,0.82516,0.205882,0.189235,0.257022,0.416667,0.627907,0.738194,0.632184,0.166667
1,26,166,45.98,预警,0,0.0,0.0002,642.16,1589.08,1396.07,21.61,554.11,2388.07,9047.11,47.26,522.28,2388.06,8131.15,8.426,394,38.86,23.4149,0.286145,0.393285,0.233288,1.0,0.68599,0.257576,0.113883,0.244048,0.765458,0.264706,0.161059,0.388996,0.5,0.55814,0.719,0.5,0.666667
1,27,165,45.71,预警,0,-0.0012,-0.0004,642.44,1590.47,1401.84,21.61,554.07,2388.02,9047.96,47.37,522.0,2388.13,8134.6,8.4046,393,38.99,23.4472,0.370482,0.423588,0.330689,1.0,0.679549,0.181818,0.117697,0.309524,0.705757,0.367647,0.178863,0.306656,0.416667,0.658915,0.763601,0.431034,0.166667
1,28,164,45.43,预警,0,-0.0024,0.0005,642.35,1582.84,1399.13,21.61,554.68,2388.12,9049.84,47.41,522.57,2388.08,8127.3,8.4323,390,39.01,23.2841,0.343373,0.257249,0.284943,1.0,0.777778,0.333333,0.126133,0.333333,0.827292,0.294118,0.141191,0.413236,0.166667,0.674419,0.538387,0.362069,0.916667
1,29,163,45.15,预警,0,0.0012,-0.0001,641.91,1584.83,1400.99,21.61,554.25,2388.05,9050.47,47.24,522.41,2388.06,8133.06,8.4189,393,38.93,23.3597,0.210843,0.300632,0.31634,1.0,0.708535,0.227273,0.12896,0.232143,0.793177,0.264706,0.170915,0.361678,0.416667,0.612403,0.642778,0.568966,0.416667
1,30,162,44.88,预警,0,-0.0022,0.0,642.2,1593.52,1396.08,21.61,554.37,2388.07,9045.62,47.4,522.19,2388.0,8137.86,8.4065,390,39.05,23.411,0.298193,0.490081,0.233457,1.0,0.727858,0.257576,0.107197,0.327381,0.746269,0.176471,0.195686,0.313967,0.166667,0.705426,0.713615,0.373563,0.5
1,31,161,44.6,预警,0,0.0014,0.0005,642.02,1584.18,1396.9,21.61,554.13,2388.08,9058.78,47.41,521.95,2388.06,8125.28,8.4104,392,38.94,23.3353,0.243976,0.286462,0.247299,1.0,0.689211,0.272727,0.166248,0.333333,0.695096,0.264706,0.130767,0.328973,0.333333,0.620155,0.609086,0.58046,0.916667
1,32,160,44.32,预警,0,0.0005,-0.0003,642.33,1591.38,1400.36,21.61,554.96,2388.04,9050.97,47.25,521.92,2388.07,8129.7,8.4148,392,39.02,23.4999,0.337349,0.443427,0.305706,1.0,0.822866,0.212121,0.131203,0.238095,0.688699,0.279412,0.153576,0.345902,0.333333,0.682171,0.836371,0.528736,0.25
1,33,159,44.04,预警,0,-0.0042,-0.0004,642.71,1588.4,1402.43,21.61,554.61,2388.04,9047.13,47.28,521.91,2388.08,8134.42,8.3753,392,38.83,23.3506,0.451807,0.378461,0.340648,1.0,0.766506,0.212121,0.113973,0.255952,0.686567,0.294118,0.177934,0.193921,0.333333,0.534884,0.630213,0.258621,0.166667
1,34,158,43.77,预警,0,0.0015,-0.0001,642.54,1581.47,1400.48,21.61,554.3,2388.03,9046.46,47.47,521.7,2388.09,8126.61,8.4349,392,38.81,23.3092,0.400602,0.227382,0.307731,1.0,0.716586,0.19697,0.110967,0.369048,0.641791,0.308824,0.13763,0.42324,0.333333,0.51938,0.573046,0.586207,0.416667
1,35,157,43.49,预警,0,0.0003,0.0002,642.44,1590.0,1403.0,21.61,554.3,2388.04,9045.76,47.31,521.75,2388.01,8140.17,8.443,391,39.13,23.4164,0.370482,0.413342,0.35027,1.0,0.716586,0.212121,0.107826,0.27381,0.652452,0.191176,0.207607,0.454406,0.25,0.767442,0.721072,0.517241,0.666667
1,36,156,43.21,预警,0,-0.0004,-0.0002,642.54,1581.72,1405.54,21.61,554.53,2388.01,9044.56,47.25,522.32,2388.04,8132.48,8.4246,392,38.86,23.4308,0.400602,0.232832,0.393147,1.0,0.753623,0.166667,0.102441,0.238095,0.773987,0.235294,0.167922,0.383609,0.333333,0.55814,0.740956,0.477011,0.333333
1,37,155,42.94,预警,0,-0.0004,-0.0,641.99,1579.11,1398.9,21.61,554.63,2388.07,9055.44,47.29,522.29,2388.04,8131.95,8.4142,392,38.99,23.4352,0.23494,0.175932,0.28106,1.0,0.769726,0.257576,0.151261,0.261905,0.767591,0.235294,0.165187,0.343594,0.333333,0.658915,0.747031,0.477011,0.5
1,38,154,42.66,预警,0,-0.0018,-0.0002,641.93,1589.6,1399.5,21.61,554.7,2388.08,9055.27,47.27,522.42,2388.08,8136.61,8.4158,392,39.06,23.4768,0.216867,0.404622,0.291188,1.0,0.780998,0.272727,0.150498,0.25,0.795309,0.294118,0.189235,0.34975,0.333333,0.713178,0.804474,0.396552,0.333333
1,39,153,42.38,预警,0,-0.003,-0.0001,642.01,1583.21,1400.69,21.61,553.97,2388.02,9051.76,47.12,522.23,2388.05,8131.81,8.414,392,38.7,23.3699,0.240964,0.265315,0.311276,1.0,0.663446,0.181818,0.134748,0.160714,0.754797,0.25,0.164465,0.342824,0.333333,0.434109,0.656863,0.327586,0.416667
1,40,152,42.11,预警,0,-0.0,-0.0004,642.24,1582.08,1401.77,21.61,554.57,2388.06,9052.98,47.33,521.84,2388.01,8131.03,8.3784,392,38.84,23.3769,0.310241,0.24068,0.329507,1.0,0.760064,0.242424,0.140223,0.285714,0.671642,0.191176,0.16044,0.205848,0.333333,0.542636,0.666529,0.5,0.166667
1,41,151,41.83,预警,0,0.0033,0.0004,642.4,1591.31,1403.21,21.61,553.72,2388.06,9048.99,47.09,522.07,2388.03,8138.08,8.437,392,39.13,23.4444,0.358434,0.441901,0.353815,1.0,0.623188,0.242424,0.122319,0.142857,0.720682,0.220588,0.196821,0.43132,0.333333,0.767442,0.759735,0.689655,0.833333
1,42,150,41.55,预警,0,0.0005,-0.0004,642.12,1584.66,1401.38,21.61,553.94,2388.08,9057.06,47.49,522.23,2388.05,8130.88,8.4137,392,39.0,23.375,0.274096,0.296926,0.322924,1.0,0.658615,0.272727,0.15853,0.380952,0.754797,0.25,0.159666,0.34167,0.333333,0.666667,0.663905,0.528736,0.166667
1,43,149,41.27,预警,0,-0.0027,0.0005,642.24,1591.52,1406.05,21.61,553.68,2388.03,9057.88,47.32,522.74,2388.09,8127.22,8.4068,392,38.99,23.3148,0.310241,0.446479,0.401756,1.0,0.616747,0.19697,0.162209,0.279762,0.863539,0.308824,0.140778,0.315121,0.333333,0.658915,0.580779,0.344828,0.916667
1,44,148,41.0,预警,0,-0.0001,0.0002,641.93,1586.94,1401.2,21.61,554.15,2388.04,9046.87,47.45,522.3,2388.0,8131.45,8.4201,392,39.06,23.4753,0.216867,0.346632,0.319885,1.0,0.692432,0.212121,0.112806,0.357143,0.769723,0.176471,0.162607,0.366295,0.333333,0.713178,0.802403,0.494253,0.666667
1,45,147,40.72,预警,0,-0.0013,-0.0,642.53,1582.42,1399.16,21.61,553.83,2388.08,9060.32,47.45,521.73,2388.05,8128.31,8.4099,393,38.79,23.3943,0.39759,0.248092,0.285449,1.0,0.640902,0.272727,0.173158,0.357143,0.648188,0.25,0.146403,0.327049,0.416667,0.503876,0.690555,0.425287,0.5
1,46,146,40.44,预警,0,0.0003,0.0001,642.43,1588.29,1401.27,21.61,553.76,2388.06,9060.38,47.2,522.02,2388.08,8128.71,8.3977,393,38.93,23.3745,0.36747,0.376063,0.321067,1.0,0.62963,0.242424,0.173427,0.208333,0.710021,0.294118,0.148467,0.280108,0.416667,0.612403,0.663215,0.517241,0.583333
1,47,145,40.17,预警,0,0.0,0.0005,642.21,1580.32,1402.89,21.61,554.38,2388.06,9052.04,47.22,521.84,2388.05,8126.21,8.3973,392,38.99,23.4873,0.301205,0.202311,0.348413,1.0,0.729469,0.242424,0.136005,0.220238,0.671642,0.25,0.135566,0.278569,0.333333,0.658915,0.818973,0.5,0.916667
1,48,144,39.89,预警,0,0.0019,0.0001,641.89,1588.51,1399.16,21.61,554.02,2388.08,9045.26,47.4,521.91,2388.06,8129.99,8.4376,392,38.94,23.365,0.204819,0.380859,0.285449,1.0,0.671498,0.272727,0.105582,0.327381,0.686567,0.264706,0.155073,0.433628,0.333333,0.620155,0.650097,0.609195,0.583333
1,49,143,39.61,预警,0,-0.0014,0.0005,642.23,1584.35,1397.76,21.61,554.23,2388.07,9050.64,47.22,521.37,2388.04,8135.48,8.4151,392,39.06,23.4498,0.307229,0.290168,0.261816,1.0,0.705314,0.257576,0.129723,0.220238,0.571429,0.235294,0.183404,0.347057,0.333333,0.713178,0.767191,0.41954,0.916667
1,50,142,39.34,预警,0,-0.0032,-0.0001,642.77,1588.49,1403.62,21.61,553.92,2388.06,9048.6,47.47,522.33,2388.09,8127.3,8.4116,392,38.85,23.4106,0.46988,0.380423,0.360736,1.0,0.655395,0.242424,0.120569,0.369048,0.776119,0.308824,0.141191,0.33359,0.333333,0.550388,0.713063,0.316092,0.416667
1,51,141,39.06,预警,0,-0.001,0.0003,642.81,1585.54,1400.42,21.61,553.73,2388.02,9047.09,47.12,521.91,2388.05,8134.36,8.4504,393,38.94,23.3651,0.481928,0.316111,0.306718,1.0,0.624799,0.181818,0.113793,0.160714,0.686567,0.25,0.177624,0.482878,0.416667,0.620155,0.650235,0.442529,0.75
1,52,140,38.78,预警,0,0.0018,-0.0001,642.76,1583.77,1395.57,21.61,553.04,2388.04,9056.01,47.07,522.1,2388.07,8132.82,8.4539,391,39.0,23.3388,0.466867,0.277523,0.224848,1.0,0.513688,0.212121,0.153819,0.130952,0.727079,0.279412,0.169677,0.496345,0.25,0.666667,0.613919,0.603448,0.416667
1,53,139,38.5,预警,0,0.0021,-0.0001,642.61,1579.82,1402.26,21.61,554.16,2388.05,9051.15,47.29,521.96,2388.06,8134.38,8.4418,392,38.9,23.3775,0.421687,0.191411,0.337779,1.0,0.694042,0.227273,0.132011,0.261905,0.697228,0.264706,0.177727,0.449788,0.333333,0.589147,0.667357,0.62069,0.416667
1,54,138,38.23,预警,0,-0.0002,0.0005,642.42,1592.59,1401.2,21.61,553.95,2388.04,9056.29,47.38,522.44,2388.06,8129.95,8.4189,392,38.96,23.2348,0.364458,0.469806,0.319885,1.0,0.660225,0.212121,0.155075,0.315476,0.799574,0.264706,0.154866,0.361678,0.333333,0.635659,0.470312,0.488506,0.916667
1,55,137,37.95,预警,0,0.0009,-0.0,642.41,1584.95,1401.58,21.61,554.45,2388.04,9048.94,47.4,522.11,2388.02,8134.1,8.4071,392,39.06,23.3567,0.361446,0.303248,0.3263,1.0,0.740741,0.212121,0.122095,0.327381,0.729211,0.205882,0.176282,0.316275,0.333333,0.713178,0.638636,0.551724,0.5
1,56,136,37.67,预警,0,0.0007,-0.0002,642.49,1586.33,1400.76,21.61,553.98,2388.01,9042.42,47.26,522.48,2388.04,8135.4,8.4022,391,38.68,23.3408,0.385542,0.333333,0.312458,1.0,0.665056,0.166667,0.092839,0.244048,0.808102,0.235294,0.182991,0.297422,0.25,0.418605,0.61668,0.54023,0.333333
1,57,135,37.4,预警,0,-0.0033,0.0,642.13,1583.67,1402.79,21.61,553.42,2388.05,9050.8,47.29,521.62,2388.08,8135.48,8.4263,392,38.84,23.3567,0.277108,0.275343,0.346725,1.0,0.574879,0.227273,0.130441,0.261905,0.624733,0.294118,0.183404,0.39015,0.333333,0.542636,0.638636,0.310345,0.5
1,58,134,37.12,预警,0,-0.0014,0.0001,641.9,1590.46,1397.99,21.61,554.14,2388.09,9050.33,47.26,522.21,2388.04,8132.08,8.4319,390,38.93,23.2893,0.207831,0.42337,0.265699,1.0,0.690821,0.287879,0.128332,0.244048,0.750533,0.235294,0.165858,0.411697,0.166667,0.612403,0.545568,0.41954,0.583333
1,59,133,36.84,预警,0,-0.0006,0.0002,642.33,1596.72,1403.51,21.61,554.62,2388.07,9050.06,47.26,521.32,2388.02,8128.81,8.4476,392,38.92,23.4444,0.337349,0.559843,0.358879,1.0,0.768116,0.257576,0.12712,0.244048,0.560768,0.205882,0.148983,0.472105,0.333333,0.604651,0.759735,0.465517,0.666667
1,60,132,36.57,预警,0,-0.001,-0.0002,642.34,1582.75,1403.07,21.61,554.0,2388.06,9051.69,47.41,522.49,2388.03,8132.89,8.3878,393,38.89,23.387,0.340361,0.255287,0.351452,1.0,0.668277,0.242424,0.134434,0.333333,0.810235,0.220588,0.170038,0.242016,0.416667,0.581395,0.680475,0.442529,0.333333
1,61,131,36.29,预警,0,0.0004,0.0005,642.1,1583.55,1405.52,21.61,554.09,2388.11,9050.58,47.31,522.34,2388.09,8131.66,8.4264,391,38.89,23.3638,0.268072,0.272727,0.392809,1.0,0.68277,0.318182,0.129453,0.27381,0.778252,0.308824,0.163691,0.390535,0.25,0.581395,0.64844,0.522989,0.916667
1,62,130,36.01,预警,0,0.0004,0.0001,642.17,1581.59,1399.54,21.61,554.45,2388.1,9053.62,47.28,522.19,2388.1,8132.28,8.4071,391,39.03,23.2707,0.289157,0.229998,0.291864,1.0,0.740741,0.30303,0.143094,0.255952,0.746269,0.323529,0.16689,0.316275,0.25,0.689922,0.519884,0.522989,0.583333
1,63,129,35.73,预警,0,0.0015,0.0002,642.6,1592.14,1395.38,21.61,553.48,2388.06,9049.96,47.51,521.56,2388.01,8130.73,8.4357,394,38.77,23.3436,0.418675,0.459996,0.221641,1.0,0.584541,0.242424,0.126671,0.392857,0.61194,0.191176,0.158892,0.426318,0.5,0.488372,0.620547,0.586207,0.666667
1,64,128,35.46,预警,0,0.0017,0.0002,642.23,1584.51,1400.11,21.61,553.88,2388.1,9043.67,47.45,521.82,2388.04,8128.15,8.4066,391,38.93,23.384,0.307229,0.293656,0.301485,1.0,0.648953,0.30303,0.098447,0.357143,0.667377,0.235294,0.145577,0.314352,0.25,0.612403,0.676333,0.597701,0.666667
1,65,127,35.18,预警,0,-0.0,0.0005,642.28,1584.72,1403.24,21.61,553.97,2388.03,9044.01,47.56,521.54,2388.13,8132.94,8.4406,392,38.9,23.3752,0.322289,0.298234,0.354321,1.0,0.663446,0.19697,0.099973,0.422619,0.607676,0.367647,0.170296,0.445171,0.333333,0.589147,0.664181,0.5,0.916667
1,66,126,34.9,预警,0,-0.0007,-0.0004,642.5,1588.5,1399.52,21.61,554.0,2388.06,9059.45,47.14,521.76,2388.05,8128.32,8.3911,391,38.95,23.3152,0.388554,0.380641,0.291526,1.0,0.668277,0.242424,0.169254,0.172619,0.654584,0.25,0.146455,0.254713,0.25,0.627907,0.581331,0.45977,0.166667
1,67,125,34.63,预警,0,0.0016,-0.0004,642.33,1590.22,1403.02,21.61,554.31,2388.1,9050.24,47.39,522.64,2388.08,8134.07,8.3925,393,38.97,23.291,0.337349,0.418138,0.350608,1.0,0.718196,0.30303,0.127928,0.321429,0.842217,0.294118,0.176128,0.2601,0.416667,0.643411,0.547915,0.591954,0.166667
1,68,124,34.35,预警,0,-0.0018,0.0,642.51,1582.06,1404.42,21.61,554.04,2388.1,9051.78,47.36,521.72,2388.07,8132.39,8.4242,392,38.95,23.3174,0.391566,0.240244,0.37424,1.0,0.674718,0.30303,0.134838,0.303571,0.646055,0.279412,0.167458,0.38207,0.333333,0.627907,0.584369,0.396552,0.5
1,69,123,34.07,预警,0,-0.0022,0.0005,642.44,1590.7,1401.24,21.61,554.65,2388.07,9050.59,47.41,522.22,2388.1,8129.13,8.4292,392,39.0,23.3742,0.370482,0.428603,0.32056,1.0,0.772947,0.257576,0.129498,0.333333,0.752665,0.323529,0.150635,0.401308,0.333333,0.666667,0.6628,0.373563,0.916667
1,70,122,33.8,预警,0,-0.0005,0.0002,642.22,1584.02,1402.78,21.61,554.01,2388.11,9053.43,47.41,521.93,2388.12,8130.36,8.4279,392,38.86,23.4513,0.304217,0.282974,0.346556,1.0,0.669887,0.318182,0.142242,0.333333,0.690832,0.352941,0.156982,0.396306,0.333333,0.55814,0.769263,0.471264,0.666667
1,71,121,33.52,预警,0,0.0016,-0.0003,642.21,1580.41,1403.09,21.61,554.06,2388.03,9046.09,47.3,521.72,2388.09,8134.28,8.423,391,38.8,23.3881,0.301205,0.204273,0.351789,1.0,0.677939,0.19697,0.109306,0.267857,0.646055,0.308824,0.177211,0.377453,0.25,0.511628,0.681994,0.591954,0.25
1,72,120,33.24,预警,0,-0.0017,0.0001,642.41,1579.25,1406.81,21.61,553.76,2388.07,9054.42,47.27,521.97,2388.09,8133.95,8.3951,391,38.84,23.3085,0.361446,0.178984,0.414585,1.0,0.62963,0.257576,0.146684,0.25,0.69936,0.308824,0.175508,0.270104,0.25,0.542636,0.57208,0.402299,0.583333
1,73,119,32.96,预警,0,-0.0012,-0.0002,642.29,1592.04,1397.93,21.61,553.88,2388.03,9049.64,47.29,522.04,2388.1,8129.85,8.404,391,39.03,23.3975,0.325301,0.457816,0.264686,1.0,0.648953,0.19697,0.125236,0.261905,0.714286,0.323529,0.15435,0.304348,0.25,0.689922,0.694974,0.431034,0.333333
1,74,118,32.69,预警,0,0.0027,0.0001,642.96,1584.65,1401.48,21.61,554.03,2388.07,9045.85,47.58,522.25,2387.97,8132.67,8.4135,392,38.8,23.382,0.527108,0.296708,0.324612,1.0,0.673108,0.257576,0.108229,0.434524,0.759062,0.132353,0.168903,0.3409,0.333333,0.511628,0.673571,0.655172,0.583333
1,75,117,32.41,预警,0,0.0009,-0.0004,641.96,1582.32,1394.82,21.61,553.6,2388.07,9042.32,47.22,521.77,2388.11,8130.13,8.4621,392,38.89,23.3521,0.225904,0.245912,0.212188,1.0,0.603865,0.257576,0.09239,0.220238,0.656716,0.338235,0.155795,0.527895,0.333333,0.581395,0.632284,0.551724,0.166667
1,76,116,32.13,预警,0,-0.0015,0.0002,642.21,1589.21,1398.94,21.61,553.66,2388.02,9056.55,47.44,521.58,2388.03,8136.44,8.3996,390,39.02,23.4428,0.301205,0.396119,0.281735,1.0,0.613527,0.181818,0.156242,0.35119,0.616205,0.220588,0.188358,0.287418,0.166667,0.682171,0.757526,0.413793,0.666667
